Sensor Type	Diode
Model Number	Si410
Serial Number	S95718
Current	10 µA
Gain	1

Temperature	Data
1.5	1.7195
2.0	1.7145
3.0	1.6938
4.0	1.6653
5.0	1.6262
6.0	1.5835
7.0	1.5364
8.0	1.4915
9.0	1.4476
10.0	1.4087
11.0	1.3777
12.0	1.3489
13.0	1.3224
14.0	1.2986
15.0	1.2763
16.0	1.2567
17.0	1.2371
18.0	1.2176
19.0	1.1992
20.0	1.1785
21.0	1.1553
22.0	1.1314
23.0	1.1197
24.0	1.1144
25.0	1.1110
26.0	1.1083
27.0	1.1061
28.0	1.1041
29.0	1.1022
30.0	1.1004
31.0	1.0987
32.0	1.0971
33.0	1.0956
34.0	1.0940
35.0	1.0925
36.0	1.0910
37.0	1.0896
38.0	1.0881
39.0	1.0866
40.0	1.0851
45.0	1.0772
50.0	1.0689
55.0	1.0605
60.0	1.0521
70.0	1.0354
77.0	1.0234
80.0	1.0183
90.0	1.0009
100.0	0.9830
125.0	0.9361
150.0	0.8865
175.0	0.8349
200.0	0.7818
225.0	0.7276
250.0	0.6714
270.0	0.6256
273.0	0.6187
275.0	0.6141
300.0	0.5569
325.0	0.4996
350.0	0.4424
375.0	0.3852
400.0	0.3279
425.0	0.2707
450.0	0.2134
